_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e6ffe11522f1d30b53c|1504869|2023-05-14 07:29:32.176|14|SendData 014208|2023-05-14 07:54:37.045|packet|send|014208|15014208
64608e6ffe11522f1d30b53d|1505144|2023-05-14 07:29:32.176|2|RecvData 014208|2023-05-14 07:54:37.320|packet|recv|014208|15014208
64608e6ffe11522f1d30b53e|1506374|2023-05-14 07:29:32.176|4|SendData 004218|2023-05-14 07:54:38.550|packet|send|004218|15004218
64608e6ffe11522f1d30b53f|1506452|2023-05-14 07:29:32.176|9|SendData 009214|2023-05-14 07:54:38.628|packet|send|009214|15009214
64608e6ffe11522f1d30b540|1506586|2023-05-14 07:29:32.176|2|RecvData 009214|2023-05-14 07:54:38.762|packet|recv|009214|15009214
64608e6ffe11522f1d30b541|1506625|2023-05-14 07:29:32.176|7|SendData 007216|2023-05-14 07:54:38.801|packet|send|007216|15007216
64608e6ffe11522f1d30b542|1506676|2023-05-14 07:29:32.176|2|RecvData 007216|2023-05-14 07:54:38.852|packet|recv|007216|15007216
64608e6ffe11522f1d30b543|1506687|2023-05-14 07:29:32.176|1|RecvData 004218|2023-05-14 07:54:38.863|packet|recv|004218|15004218
64608e6ffe11522f1d30b544|1507080|2023-05-14 07:29:32.176|6|SendData 006217|2023-05-14 07:54:39.256|packet|send|006217|15006217
64608e6ffe11522f1d30b545|1507111|2023-05-14 07:29:32.176|2|RecvData 006217|2023-05-14 07:54:39.287|packet|recv|006217|15006217
64608e6ffe11522f1d30b546|1507115|2023-05-14 07:29:32.176|5|SendData 005218|2023-05-14 07:54:39.291|packet|send|005218|15005218
64608e6ffe11522f1d30b547|1507141|2023-05-14 07:29:32.176|2|RecvData 005218|2023-05-14 07:54:39.317|packet|recv|005218|15005218
64608e6ffe11522f1d30b548|1507424|2023-05-14 07:29:32.176|12|SendData 012211|2023-05-14 07:54:39.600|packet|send|012211|15012211
64608e70fe11522f1d30b549|1507458|2023-05-14 07:29:32.176|11|SendData 011212|2023-05-14 07:54:39.634|packet|send|011212|15011212
64608e70fe11522f1d30b54a|1507582|2023-05-14 07:29:32.176|3|SendData 003220|2023-05-14 07:54:39.758|packet|send|003220|15003220
64608e70fe11522f1d30b54b|1507618|2023-05-14 07:29:32.176|1|RecvData 003220|2023-05-14 07:54:39.794|packet|recv|003220|15003220
64608e70fe11522f1d30b54c|1507693|2023-05-14 07:29:32.176|1|RecvData 012211|2023-05-14 07:54:39.869|packet|recv|012211|15012211
64608e70fe11522f1d30b54d|1507742|2023-05-14 07:29:32.176|8|SendData 008215|2023-05-14 07:54:39.918|packet|send|008215|15008215
64608e70fe11522f1d30b54e|1508128|2023-05-14 07:29:32.176|1|RecvData 011212|2023-05-14 07:54:40.304|packet|recv|011212|15011212
64608e70fe11522f1d30b54f|1508143|2023-05-14 07:29:32.176|1|RecvData 008215|2023-05-14 07:54:40.319|packet|recv|008215|15008215
64608e70fe11522f1d30b550|1508223|2023-05-14 07:29:32.176|10|SendData 010213|2023-05-14 07:54:40.399|packet|send|010213|15010213
64608e70fe11522f1d30b551|1508315|2023-05-14 07:29:32.176|13|SendData 013210|2023-05-14 07:54:40.491|packet|send|013210|15013210
64608e70fe11522f1d30b552|1508598|2023-05-14 07:29:32.176|2|RecvData 013210|2023-05-14 07:54:40.774|packet|recv|013210|15013210
64608e70fe11522f1d30b553|1508654|2023-05-14 07:29:32.176|1|RecvData 010213|2023-05-14 07:54:40.830|packet|recv|010213|15010213
64608e70fe11522f1d30b554|1508877|2023-05-14 07:29:32.176|14|SendData 014209|2023-05-14 07:54:41.053|packet|send|014209|15014209
64608e70fe11522f1d30b555|1508988|2023-05-14 07:29:32.176|2|RecvData 014209|2023-05-14 07:54:41.164|packet|recv|014209|15014209
64608e70fe11522f1d30b556|1510381|2023-05-14 07:29:32.176|4|SendData 004219|2023-05-14 07:54:42.557|packet|send|004219|15004219
64608e70fe11522f1d30b557|1510460|2023-05-14 07:29:32.176|9|SendData 009215|2023-05-14 07:54:42.636|packet|send|009215|15009215
64608e70fe11522f1d30b558|1510530|2023-05-14 07:29:32.176|1|RecvData 004219|2023-05-14 07:54:42.706|packet|recv|004219|15004219
64608e70fe11522f1d30b559|1510633|2023-05-14 07:29:32.176|7|SendData 007217|2023-05-14 07:54:42.809|packet|send|007217|15007217
64608e70fe11522f1d30b55a|1510865|2023-05-14 07:29:32.176|2|RecvData 007217|2023-05-14 07:54:43.041|packet|recv|007217|15007217
64608e70fe11522f1d30b55b|1510910|2023-05-14 07:29:32.176|2|RecvData 009215|2023-05-14 07:54:43.086|packet|recv|009215|15009215
64608e70fe11522f1d30b55c|1511080|2023-05-14 07:29:32.176|6|SendData 006218|2023-05-14 07:54:43.256|packet|send|006218|15006218
64608e70fe11522f1d30b55d|1511123|2023-05-14 07:29:32.176|5|SendData 005219|2023-05-14 07:54:43.299|packet|send|005219|15005219
64608e70fe11522f1d30b55e|1511315|2023-05-14 07:29:32.176|2|RecvData 005219|2023-05-14 07:54:43.491|packet|recv|005219|15005219
64608e70fe11522f1d30b55f|1511345|2023-05-14 07:29:32.176|2|RecvData 006218|2023-05-14 07:54:43.521|packet|recv|006218|15006218
64608e70fe11522f1d30b560|1511426|2023-05-14 07:29:32.176|12|SendData 012212|2023-05-14 07:54:43.602|packet|send|012212|15012212
64608e70fe11522f1d30b561|1511458|2023-05-14 07:29:32.176|11|SendData 011213|2023-05-14 07:54:43.634|packet|send|011213|15011213
64608e70fe11522f1d30b562|1511537|2023-05-14 07:29:32.176|1|RecvData 012212|2023-05-14 07:54:43.713|packet|recv|012212|15012212
